gamertag,message,sent_time
ItzNNooaahh,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Chillindylan330,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Schmaaack,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
ToxicFamn465,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Dragon Drummer9,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
ismell dank bro,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Drizzle1994,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
ThatKidCosmo,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
BuckHunterZ84,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
DarkPikachu01,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Ascended Pizza,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
SirDerpington1,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Chubrub9805,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Mikel King,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
geeoff17,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
BealoTheKid2888,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
PreacherSimon,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
BillyButcher744,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
DlEGO163RD,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Mortem De Caelo,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
mrcuriosity9360,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
PrjctBlackBetty,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
XxJuicyDubxX,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
belmontcross,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
DevMulaSquad,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
TurnArounBrown,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
MDSURF34,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
FLAME2552,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
delta3033,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
kai1906,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
LUDAKRIIS,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
YeloHepho12,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
MANGO6599,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
SmallKiller98,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
The Falconite,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
ogden 77,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Shadowolf 2585,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Shadowolf,this is a test,1588948543.1440802
Shadowolf,this is a test,1588948756.996265
